today,yesterday,same_day_last_week,avg_last_week,avg_last_month,diff_yesterday,diff_same_day_last_week,diff_avg_last_week,diff_avg_last_month,percent_change_yesterday,percent_change_same_day_last_week,percent_change_avg_last_week,percent_change_avg_last_month,moving_avg_7
1.0,0.9271361895829932,0.8789443647998233,0.8924326332780969,0.9007303613003543,0.6060977815372383,0.3304633634179125,0.36996459384102753,0.6252213958528883,0.7214657147951088,0.36927099418843357,0.36996459384102753,0.6252213958528883,0.5740588460132163
0.9271361895829932,1.0,0.8836553699800466,0.9132769680420505,0.9002399845266592,0.36433557137646877,0.286557705669897,0.2730570338818369,0.5564200811253008,0.4786484993109596,0.3338002957921273,0.2730570338818369,0.5564200811253008,0.5361178597316316
0.8789443647998233,0.8836553699800466,1.0,0.9587900039865459,0.9654532682627707,0.294279651410817,0.05100639057919794,0.10474812645797761,0.348771442159453,0.4130273639151142,0.08115250267870701,0.10474812645797761,0.348771442159453,0.44613205617599094
0.8924326332780969,0.9132769680420505,0.9587900039865459,1.0,0.9907731539440454,0.3052899637389987,0.12670482185352822,0.11273560491730367,0.3636691061542607,0.4255692470741633,0.1640543508152028,0.11273560491730367,0.3636691061542607,0.3743611294560612
0.9007303613003543,0.9002399845266592,0.9654532682627707,0.9907731539440454,1.0,0.3128385442710703,0.1304121667620348,0.1297961776249364,0.35597519947316003,0.4350067957799331,0.16757529218144918,0.1297961776249364,0.35597519947316003,0.39564068941355734
0.6060977815372383,0.36433557137646877,0.294279651410817,0.3052899637389987,0.3128385442710703,1.0,0.2903532079141986,0.5309425888924625,0.60980468431981,1.0,0.2873787381104569,0.5309425888924625,0.60980468431981,0.59941954142397
0.3304633634179125,0.286557705669897,0.05100639057919794,0.12670482185352822,0.1304121667620348,0.2903532079141986,1.0,0.6000952889070813,0.6723948991633765,0.3224189336542262,1.0,0.6000952889070813,0.6723948991633765,0.690891540290912
0.36996459384102753,0.2730570338818369,0.10474812645797761,0.11273560491730367,0.1297961776249364,0.5309425888924625,0.6000952889070813,1.0,0.7677193138472752,0.721185166569102,0.7447519621475839,1.0,0.7677193138472752,0.7672098847837046
0.6252213958528883,0.5564200811253008,0.348771442159453,0.3636691061542607,0.35597519947316003,0.60980468431981,0.6723948991633765,0.7677193138472752,1.0,0.7213263399179921,0.6900464134923081,0.7677193138472752,1.0,0.7667124663438541
0.7214657147951088,0.4786484993109596,0.4130273639151142,0.4255692470741633,0.4350067957799331,1.0,0.3224189336542262,0.721185166569102,0.7213263399179921,1.0,0.3224189336542262,0.7211851665691023,0.7213263399179922,0.59941954142397
0.36927099418843357,0.3338002957921273,0.08115250267870701,0.1640543508152028,0.16757529218144918,0.2873787381104569,1.0,0.7447519621475839,0.6900464134923081,0.3224189336542262,1.0,0.7447519621475839,0.6900464134923079,0.690891540290912
0.36996459384102753,0.2730570338818369,0.10474812645797761,0.11273560491730367,0.1297961776249364,0.5309425888924625,0.6000952889070813,1.0,0.7677193138472752,0.7211851665691023,0.7447519621475839,1.0,0.7677193138472752,0.7672098847837046
0.6252213958528883,0.5564200811253008,0.348771442159453,0.3636691061542607,0.35597519947316003,0.60980468431981,0.6723948991633765,0.7677193138472752,1.0,0.7213263399179922,0.6900464134923079,0.7677193138472752,1.0,0.7667124663438541
0.5740588460132163,0.5361178597316316,0.44613205617599094,0.3743611294560612,0.39564068941355734,0.59941954142397,0.690891540290912,0.7672098847837046,0.7667124663438541,0.59941954142397,0.690891540290912,0.7672098847837046,0.7667124663438541,1.0
