time,percent_change_last_week,percent_change_last_month
00h,40.18691588785047,85.56701030927837
01h,62.16216216216215,56.250000000000014
02h,257.1428571428571,21.95121951219513
03h,138.0952380952381,117.3913043478261
04h,-100.0,-100.0
05h,-21.875000000000004,33.33333333333333
06h,-64.91228070175438,-56.14035087719298
07h,-64.09335727109516,-61.61228406909789
08h,-100.0,-100.0
09h,-90.0,-89.51232302045096
10h,86.94765465669612,94.00352733686066
11h,6.793236428359535,26.31578947368421
12h,84.98367791077258,100.62942564909518
13h,39.26499032882011,48.69888475836431
14h,22.417750573833203,26.93375644585482
15h,81.2366737739872,84.04907975460122
16h,47.96102490075784,59.906396255850225
17h,120.37218413320272,101.97486535008974
18h,48.3541956420955,75.05470459518598
19h,49.05149051490515,76.75415104445634
20h,43.513203214695736,32.13530655391119
21h,60.34206306787814,70.7455890722823
22h,81.58236057068741,79.02813299232736
23h,14.94252873563218,25.71428571428571
